 minimum eigenvalues =   1.358243135721741E-005   2.11065408151136     
   3.06178652542353     
 maximum eigenvalues =    2479.41058422081        633.932803650868     
   208.683575636238     
 num eigs kept =           64
 iter     1 lrate =  0.0500000000 LL =  -2.6961588791 nd =  0.0425256450, D =   0.16944E-01  0.16944E-01  (  0.67 s,   0.4 h)
 iter     2 lrate =  0.0500000000 LL =  -2.6420904629 nd =  0.0165442712, D =   0.14804E-01  0.14804E-01  (  0.63 s,   0.4 h)
 iter     3 lrate =  0.0500000000 LL =  -2.6326306469 nd =  0.0115421435, D =   0.12388E-01  0.12388E-01  (  0.66 s,   0.4 h)
 iter     4 lrate =  0.0500000000 LL =  -2.6297213999 nd =  0.0116838120, D =   0.11157E-01  0.11157E-01  (  0.65 s,   0.4 h)
 iter     5 lrate =  0.0500000000 LL =  -2.6282178628 nd =  0.0117000062, D =   0.11561E-01  0.11561E-01  (  0.63 s,   0.3 h)
 iter     6 lrate =  0.0500000000 LL =  -2.6271624445 nd =  0.0114792423, D =   0.13444E-01  0.13444E-01  (  0.61 s,   0.3 h)
 iter     7 lrate =  0.0500000000 LL =  -2.6262949334 nd =  0.0111674472, D =   0.16484E-01  0.16484E-01  (  0.64 s,   0.4 h)
 iter     8 lrate =  0.0500000000 LL =  -2.6255387200 nd =  0.0108297494, D =   0.20360E-01  0.20360E-01  (  0.65 s,   0.4 h)
 iter     9 lrate =  0.0500000000 LL =  -2.6248597543 nd =  0.0105094268, D =   0.24793E-01  0.24793E-01  (  0.66 s,   0.4 h)
 iter    10 lrate =  0.0500000000 LL =  -2.6242476748 nd =  0.0102174497, D =   0.29560E-01  0.29560E-01  (  0.68 s,   0.4 h)
 iter    11 lrate =  0.0500000000 LL =  -2.6236888492 nd =  0.0099577476, D =   0.34492E-01  0.34492E-01  (  1.31 s,   0.7 h)
 iter    12 lrate =  0.0500000000 LL =  -2.6231703961 nd =  0.0097288225, D =   0.39456E-01  0.39456E-01  (  0.66 s,   0.4 h)
 iter    13 lrate =  0.0500000000 LL =  -2.6226912677 nd =  0.0095255162, D =   0.44359E-01  0.44359E-01  (  0.68 s,   0.4 h)
